# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,45566183159228,45566203166605
1,1,45566203174265,45566224516062
2,1,45566224520724,45566243298662
3,1,45566243302408,45566263830713
4,1,45566263836382,45566283529571
5,1,45566283534757,45566303569048
6,1,45566303573350,45566323547530
7,1,45566323552210,45566343309011
8,1,45566343312492,45566363495517
9,1,45566363501247,45566383734265
10,1,45566383738013,45566403669018
11,1,45566403701407,45566423574010
12,1,45566423578375,45566443638039
13,1,45566443641471,45566463650178
14,1,45566463668096,45566483373761
15,1,45566483377677,45566503520181
16,1,45566503523069,45566523511371
17,1,45566523517516,45566543543394
18,1,45566543548405,45566567493964
19,1,45566567499030,45566587491044
20,1,45566587495897,45566607563291
21,1,45566607568491,45566627428575
22,1,45566627433697,45566647509368
23,1,45566647514353,45566667563995
24,1,45566667568752,45566687499251
25,1,45566687505682,45566707798992
26,1,45566707803519,45566727446803
27,1,45566727450620,45566747812819
28,1,45566747816846,45566767571896
29,1,45566767575813,45566787617546
30,1,45566787622636,45566807204152
31,1,45566807208924,45566830865441
32,1,45566830871031,45566849906854
33,1,45566849911848,45566868535307
34,1,45566868542651,45566888904528
35,1,45566888915086,45566908033450
36,1,45566908038819,45566929706066
37,1,45566929709840,45566947935934
38,1,45566947939188,45566967796904
39,1,45566967800319,45566987977145
40,1,45566987981768,45567009272128
41,1,45567009277115,45567029200813
42,1,45567029207211,45567049218881
43,1,45567049223207,45567068088454
44,1,45567068092686,45567088259189
45,1,45567088263641,45567108025566
46,1,45567108049152,45567127952762
47,1,45567127956396,45567147222300
48,1,45567147226065,45567167303794
49,1,45567167307444,45567187879442
50,1,45567187884143,45567207937490
51,1,45567207942229,45567227745245
52,1,45567227748908,45567247443683
53,1,45567247448160,45567267378126
54,1,45567267383603,45567287748561
55,1,45567287753119,45567307903401
56,1,45567307907567,45567331689032
57,1,45567331693667,45567351658872
58,1,45567351663559,45567371551790
59,1,45567371556633,45567391625060
60,1,45567391633500,45567411534264
61,1,45567411538978,45567431630195
62,1,45567431634676,45567451310494
63,1,45567451314280,45567471807832
64,1,45567471811529,45567491182574
65,1,45567491187182,45567511342297
66,1,45567511346964,45567531415661
67,1,45567531421070,45567551399048
68,1,45567551402742,45567571527618
69,1,45567571532525,45567591527462
70,1,45567591532048,45567611542535
71,1,45567611547201,45567631582919
72,1,45567631587608,45567651708570
73,1,45567651711287,45567671588900
74,1,45567671594274,45567691277858
75,1,45567691282695,45567711599462
76,1,45567711603542,45567731795916
77,1,45567731800510,45567751610655
78,1,45567751630728,45567771434967
79,1,45567771439076,45567791696606
80,1,45567791730732,45567811470238
81,1,45567811475166,45567831628713
82,1,45567831633228,45567851489159
83,1,45567851493168,45567871561918
84,1,45567871566426,45567891606534
85,1,45567891611598,45567911545668
86,1,45567911550205,45567931433166
87,1,45567931438213,45567951441186
88,1,45567951445342,45567971665449
89,1,45567971669433,45567991389744
90,1,45567991393830,45568011437905
91,1,45568011441961,45568031401608
92,1,45568031405503,45568051362249
93,1,45568051366847,45568075617662
94,1,45568075622577,45568095194430
95,1,45568095198106,45568115671050
96,1,45568115687026,45568135403620
97,1,45568135408092,45568155311595
98,1,45568155315329,45568175583726
99,1,45568175588682,45568195511703
100,1,45568195515412,45568215722129
101,1,45568215725852,45568235410355
102,1,45568235414005,45568255558678
103,1,45568255562684,45568275631640
104,1,45568275636473,45568295552375
105,1,45568295556883,45568315676133
106,1,45568315680747,45568335634647
107,1,45568335639764,45568355687829
108,1,45568355692386,45568375559059
109,1,45568375565122,45568395383553
110,1,45568395387492,45568415505804
111,1,45568415509688,45568435486052
112,1,45568435490544,45568455384307
113,1,45568455388270,45568475561420
114,1,45568475565613,45568495230005
115,1,45568495233944,45568515447120
116,1,45568515451172,45568535774495
117,1,45568535778231,45568555380374
118,1,45568555384276,45568575757140
119,1,45568575760779,45568595608012
120,1,45568595613255,45568615409150
121,1,45568615413048,45568635572287
122,1,45568635577306,45568655514264
123,1,45568655518005,45568675531017
124,1,45568675536018,45568695307091
125,1,45568695310771,45568715734724
126,1,45568715744085,45568735775055
127,1,45568735779102,45568755698662
128,1,45568755702613,45568775612779
129,1,45568775618877,45568795739958
130,1,45568795743475,45568815232445
131,1,45568815237218,45568839618860
132,1,45568839623895,45568859635569
133,1,45568859640479,45568879596889
134,1,45568879601838,45568899409393
135,1,45568899414379,45568919739855
136,1,45568919743548,45568939471302
137,1,45568939476091,45568959421963
138,1,45568959425530,45568979476634
139,1,45568979480545,45568999517316
140,1,45568999521826,45569019637338
141,1,45569019642460,45569039691261
142,1,45569039737451,45569059405385
143,1,45569059410302,45569079478329
144,1,45569079483037,45569099372310
145,1,45569099377293,45569119440885
146,1,45569119445746,45569139449602
147,1,45569139466374,45569159494801
148,1,45569159499228,45569179304704
149,1,45569179310871,45569199531421
150,1,45569199536644,45569219562471
151,1,45569219567228,45569239712626
152,1,45569239716876,45569259338058
153,1,45569259344373,45569279491047
154,1,45569279495597,45569299470572
155,1,45569299475494,45569319450565
156,1,45569319455157,45569339486488
157,1,45569339490972,45569359545115
158,1,45569359549645,45569379571142
159,1,45569379576392,45569399571397
160,1,45569399575634,45569419286501
161,1,45569419291360,45569439482975
162,1,45569439487511,45569459054773
163,1,45569459058966,45569480694453
164,1,45569480699100,45569499622190
165,1,45569499626867,45569519512029
166,1,45569519516840,45569539505000
167,1,45569539510079,45569559334184
168,1,45569559340899,45569579360817
169,1,45569579365297,45569603540527
170,1,45569603545210,45569623234580
171,1,45569623238292,45569643463671
172,1,45569643467244,45569663541821
173,1,45569663547860,45569683288651
174,1,45569683292876,45569703311877
175,1,45569703316920,45569723271777
176,1,45569723275514,45569743632613
177,1,45569743636826,45569763496766
178,1,45569763501816,45569783500329
179,1,45569783504981,45569803499539
180,1,45569803503799,45569823313870
181,1,45569823319000,45569843507390
182,1,45569843512212,45569863505345
183,1,45569863510142,45569883577910
184,1,45569883582737,45569903207446
185,1,45569903211143,45569923610743
