# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,29301050774425,29301070785836
1,1,29301070795919,29301093072779
2,1,29301093081037,29301113767768
3,1,29301113776217,29301131574526
4,1,29301131578633,29301150960605
5,1,29301150967556,29301172177045
6,1,29301172182015,29301193047562
7,1,29301193053213,29301212218201
8,1,29301212224006,29301230814840
9,1,29301230821571,29301251024019
10,1,29301251028334,29301272139632
11,1,29301272148336,29301292431821
12,1,29301292438005,29301311413616
13,1,29301311418168,29301330865412
14,1,29301330885005,29301350970122
15,1,29301350975565,29301371366338
16,1,29301371372055,29301395077330
17,1,29301395083439,29301415059702
18,1,29301415065216,29301435103379
19,1,29301435111078,29301455052465
20,1,29301455057491,29301475136322
21,1,29301475140763,29301495069349
22,1,29301495074729,29301514973217
23,1,29301514978516,29301535050201
24,1,29301535055000,29301555017013
25,1,29301555023734,29301574804648
26,1,29301574810980,29301594895691
27,1,29301594901272,29301614878521
28,1,29301614882871,29301634916272
29,1,29301634921620,29301655041498
30,1,29301655047057,29301675089731
31,1,29301675095194,29301695123241
32,1,29301695131201,29301714958129
33,1,29301714964412,29301735028088
34,1,29301735032707,29301754992301
35,1,29301754997246,29301774918314
36,1,29301774922680,29301794856953
37,1,29301794862641,29301814969748
38,1,29301814975704,29301834723816
39,1,29301834729691,29301855005849
40,1,29301855011363,29301874861791
41,1,29301874867941,29301894834207
42,1,29301894838893,29301914947798
43,1,29301914953228,29301935006346
44,1,29301935011823,29301955093318
45,1,29301955098552,29301975906712
46,1,29301975910949,29301994792666
47,1,29301994817115,29302015249566
48,1,29302015255040,29302035053640
49,1,29302035059080,29302055136750
50,1,29302055142678,29302074910597
51,1,29302074916330,29302095089888
52,1,29302095094961,29302114920071
53,1,29302114926346,29302135131508
54,1,29302135136994,29302158994305
55,1,29302159001041,29302179196466
56,1,29302179202401,29302199643416
57,1,29302199649358,29302219076539
58,1,29302219083374,29302239017544
59,1,29302239055422,29302259320425
60,1,29302259327568,29302279080616
61,1,29302279086677,29302299597630
62,1,29302299602684,29302319030632
63,1,29302319035632,29302339078701
64,1,29302339084382,29302359038561
65,1,29302359045547,29302379217894
66,1,29302379223240,29302399119025
67,1,29302399124600,29302419265710
68,1,29302419271202,29302439204342
69,1,29302439209925,29302459306144
70,1,29302459311261,29302478839861
71,1,29302478844768,29302499334482
72,1,29302499340157,29302519202519
73,1,29302519207728,29302539360134
74,1,29302539366174,29302559130772
75,1,29302559137142,29302579263929
76,1,29302579269240,29302599802921
77,1,29302599810120,29302619226699
78,1,29302619248380,29302639161011
79,1,29302639166022,29302659287709
80,1,29302659293344,29302678941663
81,1,29302678946609,29302698954648
82,1,29302698959506,29302718899262
83,1,29302718904685,29302739220922
84,1,29302739226084,29302759269069
85,1,29302759274783,29302779280740
86,1,29302779285684,29302799057033
87,1,29302799063504,29302819063060
88,1,29302819068586,29302839009520
89,1,29302839014751,29302859125881
90,1,29302859130993,29302879088194
91,1,29302879093650,29302899368845
92,1,29302899374206,29302923111770
93,1,29302923119060,29302943203623
94,1,29302943210144,29302962957303
95,1,29302962963409,29302983054409
96,1,29302983059405,29303004071585
97,1,29303004140581,29303023196918
98,1,29303023201824,29303042908858
99,1,29303042914361,29303063237928
100,1,29303063243409,29303083034548
101,1,29303083039519,29303103199544
102,1,29303103205109,29303122910464
103,1,29303122915232,29303143120880
104,1,29303143126455,29303162964840
105,1,29303162969643,29303183151389
106,1,29303183156864,29303203020339
107,1,29303203025245,29303223354011
108,1,29303223359155,29303243057602
109,1,29303243064697,29303263095857
110,1,29303263101645,29303283150048
111,1,29303283166419,29303303144078
112,1,29303303149688,29303322973441
113,1,29303322978911,29303343010841
114,1,29303343015917,29303362993511
115,1,29303362998753,29303383002317
116,1,29303383008519,29303403068684
117,1,29303403074215,29303423058450
118,1,29303423064311,29303443096726
119,1,29303443102444,29303463060191
120,1,29303463066131,29303482717542
121,1,29303482721848,29303503591390
122,1,29303503597057,29303523036463
123,1,29303523041162,29303543054484
124,1,29303543059095,29303562937518
125,1,29303562943281,29303583047516
126,1,29303583053206,29303603047768
127,1,29303603053072,29303623088491
128,1,29303623094028,29303642994140
129,1,29303643000928,29303667046072
130,1,29303667051652,29303686926049
131,1,29303686931960,29303706984470
132,1,29303706989558,29303727552707
133,1,29303727561563,29303747164142
134,1,29303747169397,29303767050244
135,1,29303767055662,29303787033200
136,1,29303787039207,29303807015054
137,1,29303807021108,29303827120720
138,1,29303827126680,29303846996395
139,1,29303847001996,29303867191185
140,1,29303867196850,29303887023984
141,1,29303887029003,29303907044460
142,1,29303907068631,29303927024591
143,1,29303927030682,29303947088750
144,1,29303947094052,29303966837038
145,1,29303966842340,29303987085264
146,1,29303987091128,29304007087300
147,1,29304007092727,29304027044007
