# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,30086796266235,30086816261503
1,1,30086816270458,30086836725182
2,1,30086836730902,30086856193144
3,1,30086856197583,30086875721735
4,1,30086875725449,30086896238465
5,1,30086896244032,30086916323200
6,1,30086916328251,30086936201425
7,1,30086936206007,30086956136003
8,1,30086956140370,30086976205345
9,1,30086976211153,30086996122996
10,1,30086996128080,30087016227902
11,1,30087016232421,30087036038822
12,1,30087036043638,30087056041261
13,1,30087056045143,30087075866324
14,1,30087075883159,30087096194846
15,1,30087096199841,30087116157135
16,1,30087116161710,30087135995970
17,1,30087136018703,30087160345626
18,1,30087160350976,30087180242802
19,1,30087180248074,30087200198706
20,1,30087200203917,30087220232671
21,1,30087220237646,30087240304430
22,1,30087240309428,30087260221836
23,1,30087260226254,30087280231932
24,1,30087280236553,30087300246387
25,1,30087300251875,30087320269167
26,1,30087320274879,30087340226520
27,1,30087340231616,30087360239287
28,1,30087360243781,30087380074636
29,1,30087380079562,30087400327179
30,1,30087400332079,30087420270746
31,1,30087420275995,30087440147892
32,1,30087440152644,30087460241689
33,1,30087460247498,30087480207967
34,1,30087480212448,30087500207100
35,1,30087500212206,30087520076021
36,1,30087520080872,30087540254878
37,1,30087540259371,30087560146223
38,1,30087560150959,30087580266548
39,1,30087580271061,30087600229594
40,1,30087600234646,30087620085516
41,1,30087620091037,30087639923892
42,1,30087639928417,30087660242514
43,1,30087660247559,30087679916333
44,1,30087679921074,30087700396721
45,1,30087700401334,30087720171527
46,1,30087720195551,30087740309452
47,1,30087740314220,30087760089085
48,1,30087760094030,30087780239679
49,1,30087780244925,30087800299115
50,1,30087800304177,30087820324386
51,1,30087820329428,30087840264194
52,1,30087840269309,30087860241029
53,1,30087860247333,30087880253748
54,1,30087880258513,30087900288585
55,1,30087900293722,30087924173598
56,1,30087924177697,30087944427216
57,1,30087944432369,30087964134215
58,1,30087964138936,30087984198145
59,1,30087984202737,30088004196108
60,1,30088004200887,30088024103815
61,1,30088024108130,30088044152472
62,1,30088044157021,30088064221140
63,1,30088064225552,30088084061016
64,1,30088084066502,30088104194448
65,1,30088104201332,30088123983248
66,1,30088123988692,30088144057705
67,1,30088144061618,30088164513213
68,1,30088164517267,30088184337957
69,1,30088184343349,30088204119192
70,1,30088204124193,30088224225160
71,1,30088224230016,30088244146101
72,1,30088244150567,30088264377733
73,1,30088264382717,30088283890658
74,1,30088283894687,30088304141812
75,1,30088304146655,30088323946605
76,1,30088323951382,30088344107303
77,1,30088344113495,30088364418691
78,1,30088364448056,30088384600539
79,1,30088384604916,30088404126158
80,1,30088404130178,30088424374757
81,1,30088424379809,30088444157937
82,1,30088444162594,30088464206864
83,1,30088464211844,30088484047807
84,1,30088484052279,30088504172626
85,1,30088504177734,30088524132367
86,1,30088524136978,30088544201297
87,1,30088544205964,30088564164592
88,1,30088564169669,30088584230879
89,1,30088584235637,30088604155860
90,1,30088604160599,30088624209630
91,1,30088624214237,30088643814720
92,1,30088643819031,30088668443364
93,1,30088668449699,30088688238357
94,1,30088688243088,30088708284728
95,1,30088708289794,30088728027424
96,1,30088728048361,30088748245614
97,1,30088748250694,30088768171400
98,1,30088768176407,30088788249181
99,1,30088788254195,30088808191231
100,1,30088808195824,30088828268489
101,1,30088828273167,30088848358455
102,1,30088848362664,30088868606034
103,1,30088868610829,30088888518532
104,1,30088888523543,30088908331495
105,1,30088908336010,30088928212674
106,1,30088928217376,30088948103670
107,1,30088948108747,30088968113571
108,1,30088968118444,30088988274823
109,1,30088988280826,30089008105110
110,1,30089008110168,30089028224692
111,1,30089028230131,30089048174072
112,1,30089048179208,30089068208218
113,1,30089068213511,30089088181771
114,1,30089088186941,30089108158162
115,1,30089108163065,30089128102371
116,1,30089128107675,30089148361416
117,1,30089148365448,30089168255643
118,1,30089168260806,30089188257257
119,1,30089188262153,30089208115474
120,1,30089208119889,30089228186066
121,1,30089228191285,30089248051855
122,1,30089248059529,30089268235505
123,1,30089268240724,30089288073215
124,1,30089288078127,30089308191638
125,1,30089308196601,30089328135387
126,1,30089328139715,30089348190725
127,1,30089348195420,30089368215041
128,1,30089368220206,30089388477460
129,1,30089388483373,30089407924964
130,1,30089407929021,30089432161550
131,1,30089432166048,30089452204328
132,1,30089452208203,30089472302957
133,1,30089472311204,30089492206238
134,1,30089492211329,30089512151224
135,1,30089512155952,30089532157263
