# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,48844337355361,48844357440071
1,1,48844357446227,48844377730785
2,1,48844377734715,48844397364202
3,1,48844397370912,48844417539724
4,1,48844417543150,48844437430363
5,1,48844437435392,48844457334264
6,1,48844457340590,48844477456623
7,1,48844477460483,48844497337483
8,1,48844497343375,48844517344277
9,1,48844517350351,48844538715790
10,1,48844538720543,48844557256144
11,1,48844557260184,48844577657703
12,1,48844577661692,48844597520552
13,1,48844597524101,48844617207428
14,1,48844617224498,48844637476568
15,1,48844637480100,48844658146480
16,1,48844658153654,48844677406362
17,1,48844677410616,48844697274658
18,1,48844697278306,48844721400446
19,1,48844721404506,48844742468622
20,1,48844742475343,48844761888700
21,1,48844761896697,48844782449797
22,1,48844782453583,48844801127033
23,1,48844801130712,48844821290031
24,1,48844821293609,48844841461616
25,1,48844841467342,48844861603298
26,1,48844861607034,48844881384339
27,1,48844881388918,48844901347238
28,1,48844901353928,48844921333571
29,1,48844921337898,48844941457136
30,1,48844941461784,48844961469321
31,1,48844961473644,48844981586343
32,1,48844981590316,48845001523896
33,1,48845001527295,48845021430371
34,1,48845021434942,48845041381223
35,1,48845041385960,48845061139004
36,1,48845061142773,48845081542093
37,1,48845081547472,48845102087546
38,1,48845102091234,48845121100916
39,1,48845121104602,48845141391546
40,1,48845141395438,48845162899646
41,1,48845162910061,48845181261113
42,1,48845181265063,48845201295688
43,1,48845201300069,48845221237511
44,1,48845221241191,48845241508192
45,1,48845241512402,48845261312836
46,1,48845261319031,48845281766662
47,1,48845281770078,48845301250316
48,1,48845301254182,48845321170871
49,1,48845321174662,48845341547205
50,1,48845341551545,48845361766199
51,1,48845361770546,48845381732665
52,1,48845381736687,48845401107044
53,1,48845401112323,48845421440923
54,1,48845421444403,48845441192286
55,1,48845441196551,48845461691287
56,1,48845461695821,48845485286362
57,1,48845485290862,48845505149193
58,1,48845505153160,48845525147838
59,1,48845525166126,48845545650740
60,1,48845545655327,48845565241444
61,1,48845565244929,48845585272101
62,1,48845585276370,48845605114860
63,1,48845605118699,48845625576274
64,1,48845625580489,48845645405078
65,1,48845645412363,48845665306523
66,1,48845665310533,48845685235437
67,1,48845685239695,48845705607597
68,1,48845705611781,48845725333964
69,1,48845725338293,48845745573521
