# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,47481424023701,47481444068030
1,1,47481444076443,47481464910601
2,1,47481464915331,47481484042483
3,1,47481484047355,47481503996694
4,1,47481504009141,47481524112380
5,1,47481524117489,47481543896351
6,1,47481543899445,47481564124220
7,1,47481564128267,47481584084506
8,1,47481584088485,47481603983405
9,1,47481603989978,47481623987507
10,1,47481623991993,47481644160857
11,1,47481644164399,47481663662062
12,1,47481663666653,47481684066477
13,1,47481684070477,47481703831556
14,1,47481703845421,47481724263081
15,1,47481724266307,47481744151058
16,1,47481744154824,47481763996039
17,1,47481764008616,47481784020070
18,1,47481784024262,47481804010781
19,1,47481804014735,47481828027293
20,1,47481828031512,47481848019008
21,1,47481848023991,47481867965324
22,1,47481867969368,47481887831036
23,1,47481887835292,47481907990150
24,1,47481907994346,47481928022779
25,1,47481928027978,47481948420287
26,1,47481948423380,47481968096051
27,1,47481968098810,47481988213607
28,1,47481988217325,47482007896990
29,1,47482007900927,47482028021166
30,1,47482028025152,47482048092299
31,1,47482048096558,47482068010154
32,1,47482068014156,47482088378655
33,1,47482088383187,47482107985454
34,1,47482107989517,47482128038154
35,1,47482128042520,47482148140894
36,1,47482148144448,47482167966639
37,1,47482167971177,47482187583273
38,1,47482187587289,47482207963066
39,1,47482207966485,47482228119051
40,1,47482228123581,47482248039831
41,1,47482248045720,47482267731119
42,1,47482267734360,47482288036961
43,1,47482288041013,47482308192656
44,1,47482308196148,47482328066243
45,1,47482328070328,47482348009178
46,1,47482348015481,47482368094396
47,1,47482368098528,47482388088230
48,1,47482388092897,47482408116458
49,1,47482408120110,47482428111402
50,1,47482428114522,47482447844094
51,1,47482447848116,47482468185089
52,1,47482468188507,47482487947809
53,1,47482487952967,47482507994031
54,1,47482507998052,47482527916849
55,1,47482527921619,47482548012340
56,1,47482548017603,47482572116232
57,1,47482572119987,47482592130636
58,1,47482592147113,47482612097933
59,1,47482612102222,47482631813709
60,1,47482631817553,47482652078858
61,1,47482652082400,47482671944469
62,1,47482671948368,47482691667951
63,1,47482691671772,47482712043491
64,1,47482712049680,47482732041829
65,1,47482732047838,47482752142874
66,1,47482752173851,47482772013334
67,1,47482772017508,47482792066033
68,1,47482792070465,47482812097302
69,1,47482812101357,47482832131747
70,1,47482832134986,47482852285668
71,1,47482852289602,47482872194576
72,1,47482872197974,47482892190166
73,1,47482892193665,47482912097339
74,1,47482912101706,47482932102957
75,1,47482932106234,47482951795650
76,1,47482951798528,47482972222367
77,1,47482972227266,47482992050089
78,1,47482992068073,47483011629795
79,1,47483011633235,47483032087818
80,1,47483032091100,47483052022073
81,1,47483052026019,47483071993865
82,1,47483071998147,47483092031801
83,1,47483092037512,47483112092555
84,1,47483112095893,47483132053194
85,1,47483132057426,47483152012546
86,1,47483152016235,47483172137478
87,1,47483172141539,47483191682795
