# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,44761392978024,44761412636203
1,1,44761412643021,44761433879167
2,1,44761433884296,44761452866452
3,1,44761452870430,44761472935566
4,1,44761472938853,44761492881933
5,1,44761492885866,44761512948518
6,1,44761512952203,44761532771939
7,1,44761532776329,44761553053685
8,1,44761553057341,44761572948028
9,1,44761572951796,44761592905061
10,1,44761592908773,44761612515975
11,1,44761612519616,44761633019899
12,1,44761633023281,44761653002403
13,1,44761653006113,44761672768791
14,1,44761672785221,44761693018662
15,1,44761693022566,44761712920989
16,1,44761712924556,44761732881028
17,1,44761732885705,44761752998343
18,1,44761753001727,44761772850811
19,1,44761772855762,44761796837516
20,1,44761796842015,44761816878483
21,1,44761816882283,44761836958263
22,1,44761836961784,44761857326213
23,1,44761857330001,44761877993674
24,1,44761877997357,44761896963029
25,1,44761896967173,44761916956413
26,1,44761916960281,44761936881469
27,1,44761936885371,44761956952036
28,1,44761956955595,44761976953973
29,1,44761976957187,44761996949209
30,1,44761996952827,44762016937784
31,1,44762016941861,44762037049377
32,1,44762037053233,44762056865393
33,1,44762056870017,44762076828391
34,1,44762076833134,44762096879569
35,1,44762096883368,44762116937610
36,1,44762116941622,44762136940937
37,1,44762136944446,44762156835896
38,1,44762156840663,44762176780724
39,1,44762176784966,44762196910924
40,1,44762196914415,44762216821955
41,1,44762216827154,44762236922615
42,1,44762236926397,44762256655221
43,1,44762256659584,44762276702194
44,1,44762276706007,44762296916087
45,1,44762296920523,44762316981943
46,1,44762316986040,44762336875746
47,1,44762336880405,44762356927046
48,1,44762356931079,44762376868925
49,1,44762376872471,44762397041575
50,1,44762397057549,44762416861799
51,1,44762416866522,44762436986071
52,1,44762436989789,44762456898477
53,1,44762456902585,44762476924777
54,1,44762476928339,44762496886690
55,1,44762496890140,44762516966465
56,1,44762516969966,44762540881029
57,1,44762540885020,44762560973828
58,1,44762560977191,44762580924769
59,1,44762580928585,44762600941323
60,1,44762600944468,44762620949640
61,1,44762620952972,44762641069204
62,1,44762641072753,44762660936591
63,1,44762660940163,44762680930879
64,1,44762680934575,44762700920882
65,1,44762700927149,44762720887257
66,1,44762720891845,44762740890878
67,1,44762740923100,44762760907743
68,1,44762760911159,44762780907553
69,1,44762780911113,44762800882139
70,1,44762800886973,44762820932462
71,1,44762820935831,44762840969605
72,1,44762840972659,44762860599587
73,1,44762860603843,44762881038579
74,1,44762881042517,44762901019449
75,1,44762901023049,44762920973051
76,1,44762920976740,44762940848165
77,1,44762940853202,44762960889966
78,1,44762960902915,44762980941270
79,1,44762980945843,44763000989157
80,1,44763000992551,44763020932666
81,1,44763020936152,44763040716242
82,1,44763040719962,44763061076708
83,1,44763061079941,44763080944918
84,1,44763080948362,44763100970697
85,1,44763100973946,44763121077707
86,1,44763121081390,44763141048764
87,1,44763141052226,44763160997927
88,1,44763161001544,44763180920627
89,1,44763180924643,44763200931424
90,1,44763200935357,44763220956269
91,1,44763220960246,44763240993322
92,1,44763240996920,44763260875190
93,1,44763260880743,44763281017343
94,1,44763281020687,44763304935914
95,1,44763304939181,44763324950829
96,1,44763324954433,44763344967818
97,1,44763344971605,44763364585053
98,1,44763364589144,44763385039591
99,1,44763385043493,44763404967059
100,1,44763404982230,44763424845175
101,1,44763424877838,44763444988748
102,1,44763444992033,44763464934916
103,1,44763464938511,44763485044834
104,1,44763485048373,44763505016244
105,1,44763505020690,44763525024644
106,1,44763525028788,44763544945637
107,1,44763544949201,44763565027923
108,1,44763565031446,44763584974913
109,1,44763584979308,44763604962075
110,1,44763604965640,44763624691159
111,1,44763624694817,44763645060702
112,1,44763645064232,44763665024557
113,1,44763665028375,44763685064419
114,1,44763685068432,44763705071946
115,1,44763705076178,44763724994274
116,1,44763724998043,44763745074512
117,1,44763745078662,44763765028894
118,1,44763765032473,44763785448863
119,1,44763785453444,44763804990628
120,1,44763804994259,44763825068443
121,1,44763825071915,44763845006859
122,1,44763845010447,44763864815941
123,1,44763864819818,44763885073738
124,1,44763885077456,44763905046659
125,1,44763905051255,44763925036276
126,1,44763925040647,44763945470674
127,1,44763945477692,44763965076278
128,1,44763965079669,44763985077983
129,1,44763985083322,44764004957023
130,1,44764004960576,44764024938356
131,1,44764024941971,44764044980598
132,1,44764044984328,44764068987110
133,1,44764068991142,44764088857637
134,1,44764088860979,44764109041411
135,1,44764109045012,44764129030731
136,1,44764129035495,44764149054574
137,1,44764149058576,44764169045383
138,1,44764169050203,44764189060478
139,1,44764189064851,44764208987114
140,1,44764208990403,44764228953700
141,1,44764228957308,44764248989688
142,1,44764249005425,44764268890362
143,1,44764268893923,44764289059007
144,1,44764289063739,44764308907692
145,1,44764308911138,44764328970486
146,1,44764328974054,44764348920039
147,1,44764348923423,44764368662722
148,1,44764368667337,44764389001844
149,1,44764389006259,44764408962089
150,1,44764408966083,44764428818540
151,1,44764428835196,44764448893183
152,1,44764448896711,44764468849831
153,1,44764468853244,44764488956236
154,1,44764488959704,44764508855317
155,1,44764508858656,44764528873246
156,1,44764528877397,44764548817917
157,1,44764548821874,44764569081995
158,1,44764569086320,44764588979627
159,1,44764588982736,44764608997294
160,1,44764609001121,44764628837729
161,1,44764628841763,44764649016520
162,1,44764649020128,44764669124849
163,1,44764669128416,44764688841296
164,1,44764688845058,44764709078465
165,1,44764709082418,44764729016470
166,1,44764729019672,44764748841740
167,1,44764748846236,44764768983170
168,1,44764768987260,44764788871755
169,1,44764788876132,44764812827491
170,1,44764812831095,44764832926511
171,1,44764832930077,44764853005003
172,1,44764853008741,44764872692107
173,1,44764872696302,44764893032033
174,1,44764893035486,44764912881219
175,1,44764912884631,44764932895858
176,1,44764932899201,44764952796754
177,1,44764952801018,44764972846690
178,1,44764972851792,44764992802100
