frame_index,t_monotonic_ns
0,140817098747870
1,140817124267990
2,140817138967420
3,140817158788747
4,140817179766626
5,140817200336920
6,140817218691522
7,140817243017349
8,140817262544082
9,140817282091776
10,140817302660171
11,140817322722287
12,140817342140603
13,140817362117761
14,140817381956183
15,140817402170178
16,140817422220016
17,140817442646244
18,140817462051397
19,140817482121709
20,140817503237264
21,140817522186722
22,140817542039006
23,140817562144471
24,140817582040587
25,140817602039884
26,140817622086825
27,140817642340476
28,140817662098557
29,140817681964169
30,140817702002812
31,140817721890277
32,140817746647707
33,140817766225125
34,140817786124445
35,140817806291921
36,140817826319378
37,140817845764059
38,140817866142891
39,140817886071756
40,140817905977677
41,140817925922336
42,140817947783604
43,140817966042793
44,140817986057256
45,140818006093432
46,140818026058118
47,140818046639305
48,140818066080831
49,140818086109247
50,140818105989482
51,140818125993499
52,140818146033363
53,140818165896994
54,140818185968494
55,140818205850161
56,140818225903029
57,140818250206140
58,140818270055851
59,140818290091937
60,140818310060786
61,140818329963994
62,140818350039236
63,140818370025971
64,140818390010357
65,140818410329972
66,140818429916875
67,140818449962453
68,140818469896164
69,140818489990121
70,140818509830790
71,140818529840390
72,140818550085215
73,140818569957272
74,140818589695469
75,140818609878015
76,140818630206688
77,140818650200061
78,140818670060291
79,140818690130151
80,140818710043132
81,140818730103255
82,140818754173258
83,140818774195329
84,140818794244675
85,140818814275106
86,140818834344257
87,140818854399250
88,140818874011736
89,140818893934773
90,140818913986951
91,140818934040244
92,140818954050012
93,140818974230889
94,140818993876449
95,140819015346081
96,140819034092455
97,140819054495178
98,140819073781232
99,140819094072927
100,140819113849250
101,140819134079444
102,140819153799036
103,140819174062650
104,140819193907572
105,140819213950721
106,140819233870369
107,140819258759735
108,140819282892129
109,140819298287875
110,140819318028720
111,140819338189289
112,140819358028559
113,140819378259157
114,140819398043918
115,140819418218428
116,140819438071508
117,140819458196758
118,140819477920324
119,140819498105471
120,140819518157979
121,140819538129812
122,140819559156759
123,140819578066771
124,140819597952651
125,140819619518325
126,140819638174231
127,140819658215753
128,140819677929842
129,140819698258769
130,140819717912977
131,140819738179175
132,140819762771813
133,140819782284762
134,140819802107046
135,140819822297946
136,140819842026627
137,140819862328995
138,140819881950672
139,140819902360350
140,140819922012310
141,140819942357696
142,140819962050494
143,140819982138499
144,140820003155478
145,140820023596838
146,140820042253288
147,140820062818224
148,140820082150443
149,140820102192271
150,140820122015253
151,140820142180707
152,140820162314205
153,140820182219287
154,140820202068146
155,140820222192170
156,140820242016822
157,140820267057028
158,140820286570296
159,140820307323522
160,140820326436724
161,140820346365902
162,140820366458820
163,140820386816210
164,140820406200333
165,140820425988813
166,140820446044324
167,140820466133863
168,140820485991360
169,140820506033952
170,140820526205419
171,140820546181995
172,140820566290060
173,140820586208609
174,140820606033685
175,140820626159177
176,140820646238476
177,140820666217035
178,140820686110166
179,140820706152340
180,140820726051726
181,140820746249616
182,140820770503051
183,140820790312726
184,140820810708818
185,140820830750774
186,140820850996663
187,140820870122531
188,140820890120756
189,140820910097343
190,140820930208843
191,140820950886686
192,140820970264197
193,140820990256482
194,140821011880823
195,140821030291642
196,140821050314511
197,140821070777942
198,140821090302467
199,140821110450239
200,140821130296374
201,140821150063755
