frame_index,t_monotonic_ns
0,138433940499344
1,138433961751269
2,138433979826013
3,138433999901479
4,138434019801826
5,138434039816973
6,138434059741474
7,138434079966468
8,138434099948099
9,138434120097867
10,138434139934681
11,138434160797298
12,138434180385411
13,138434199968788
14,138434220135656
15,138434240342586
16,138434259987032
17,138434279978017
18,138434299961492
19,138434320074007
20,138434339955822
21,138434359959436
22,138434384115381
23,138434403898288
24,138434424064667
25,138434444234416
26,138434464066213
27,138434483978689
28,138434503986641
29,138434523998904
30,138434544065278
31,138434563902254
32,138434584176028
33,138434604045709
34,138434624149983
35,138434643995485
36,138434664068852
37,138434685095578
38,138434704225309
39,138434724179332
40,138434743951223
41,138434764115675
42,138434784318269
43,138434803985808
44,138434824185135
45,138434844106100
46,138434864104485
47,138434888033693
48,138434907978234
49,138434929050103
50,138434949009984
51,138434968378135
52,138434988631439
53,138435008226100
54,138435028132782
55,138435048118624
56,138435068290147
57,138435088055376
58,138435107966985
59,138435127914710
60,138435148113531
61,138435168069706
62,138435189145979
63,138435208210319
64,138435227994499
65,138435247966311
66,138435268280055
67,138435287862965
68,138435307760232
69,138435328037849
70,138435347822007
71,138435367810105
72,138435391866746
73,138435411776453
74,138435432607967
75,138435451942572
76,138435472042914
77,138435491750364
78,138435511820489
79,138435531713178
80,138435551766432
81,138435571953731
82,138435591910592
83,138435611760627
84,138435631834238
85,138435651708746
86,138435671874994
87,138435692206233
88,138435712052034
89,138435732136176
90,138435751987123
91,138435772046256
92,138435792061465
93,138435811932637
94,138435832089848
95,138435852037064
96,138435871947148
97,138435895828897
98,138435915787663
99,138435936819860
100,138435956864233
101,138435976272196
102,138435995954038
103,138436016186152
104,138436035834542
105,138436055710857
106,138436075981604
107,138436095723388
108,138436115800758
109,138436135750618
110,138436155793530
111,138436175898305
112,138436195904281
113,138436215751706
114,138436236281055
115,138436255819414
116,138436275934667
117,138436295863080
118,138436315788550
119,138436335838389
120,138436355777132
121,138436375846662
122,138436399754425
123,138436419720483
124,138436440296152
125,138436461415559
126,138436480421159
127,138436499794457
128,138436520289666
129,138436541013026
130,138436568183358
131,138436586852001
132,138436606972698
133,138436625190851
134,138436642577570
135,138436665223378
136,138436680653214
137,138436705237093
138,138436726360707
139,138436745392924
140,138436759876056
141,138436779839708
142,138436800029746
143,138436819814059
144,138436839989990
145,138436860197804
146,138436879907898
147,138436903708621
148,138436923836082
149,138436945532365
150,138436964198485
151,138436984061826
152,138437004125315
153,138437023937272
154,138437043997549
155,138437063920554
156,138437084049468
157,138437103934158
158,138437123960097
159,138437143906874
160,138437163989940
161,138437184349699
162,138437204239845
163,138437224059342
164,138437244034209
165,138437264040530
166,138437283991653
167,138437303928862
168,138437323947963
169,138437343840895
170,138437363901268
171,138437383853559
172,138437407827690
173,138437427831045
174,138437447750163
175,138437467709382
176,138437487671128
177,138437507845127
178,138437527883072
179,138437547956642
180,138437567742879
181,138437587628645
182,138437607632359
183,138437627624082
184,138437647632464
185,138437667590334
186,138437688475988
187,138437707545128
188,138437727773790
189,138437747914165
190,138437768083508
191,138437787776202
192,138437807885363
193,138437827862498
194,138437847708925
195,138437867662030
196,138437887882186
197,138437911692104
198,138437931764897
199,138437952261235
200,138437972029422
201,138437992080074
202,138438012360776
203,138438031987134
204,138438051827332
205,138438071941626
206,138438091968580
207,138438111719090
208,138438131790593
209,138438151788960
210,138438172036850
211,138438193671794
212,138438211908073
213,138438231824773
214,138438251811962
215,138438271822198
216,138438292223384
217,138438311854078
218,138438331948246
219,138438352246968
220,138438371888376
221,138438392156344
222,138438415892953
223,138438435814633
224,138438456056954
225,138438475902867
226,138438496067922
227,138438515741628
228,138438535798109
