# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,44081877242032,44081897208340
1,1,44081897217057,44081917589393
2,1,44081917593806,44081937338678
3,1,44081937342331,44081957343645
4,1,44081957348167,44081977460978
5,1,44081977466442,44081997211764
6,1,44081997216677,44082017583510
7,1,44082017587249,44082037100831
8,1,44082037104563,44082057441600
9,1,44082057447101,44082077177131
10,1,44082077181739,44082097385341
11,1,44082097389746,44082117185658
12,1,44082117190241,44082137574451
13,1,44082137577571,44082157169821
14,1,44082157189775,44082177368298
15,1,44082177372904,44082197253742
16,1,44082197258536,44082217369462
17,1,44082217375315,44082237212044
18,1,44082237216207,44082261391273
19,1,44082261396314,44082281216237
20,1,44082281220926,44082301350215
21,1,44082301354691,44082321144658
22,1,44082321149466,44082341346534
23,1,44082341351482,44082361183348
24,1,44082361187771,44082381242189
25,1,44082381247576,44082401064902
26,1,44082401070334,44082421101394
27,1,44082421105598,44082441287795
28,1,44082441291937,44082461308446
29,1,44082461312546,44082481134128
30,1,44082481138231,44082501349377
31,1,44082501354066,44082521164994
32,1,44082521169511,44082541268234
33,1,44082541273370,44082561219044
34,1,44082561223879,44082581311867
35,1,44082581316410,44082601203586
36,1,44082601208359,44082621228733
37,1,44082621233372,44082641172059
38,1,44082641176350,44082661631058
39,1,44082661635525,44082681347206
40,1,44082681352058,44082701388993
41,1,44082701394522,44082721202514
42,1,44082721207695,44082740936455
43,1,44082740940598,44082761239604
44,1,44082761243635,44082781348633
45,1,44082781368287,44082800955891
46,1,44082800959712,44082821338836
47,1,44082821342955,44082841181772
48,1,44082841186245,44082861328123
49,1,44082861332623,44082881071250
50,1,44082881077913,44082901268829
51,1,44082901273916,44082921040505
52,1,44082921046808,44082941165570
53,1,44082941170069,44082961185393
54,1,44082961189807,44082981288801
55,1,44082981293116,44083001147223
56,1,44083001153670,44083025277624
57,1,44083025281922,44083045197186
58,1,44083045202308,44083065335768
59,1,44083065340587,44083085106538
60,1,44083085111226,44083105271099
61,1,44083105275650,44083125102707
62,1,44083125107576,44083145325263
63,1,44083145330002,44083165093748
64,1,44083165097686,44083185395863
65,1,44083185401134,44083205065699
66,1,44083205069844,44083225370306
67,1,44083225375234,44083244904730
68,1,44083244908749,44083265294649
69,1,44083265298545,44083284921829
70,1,44083284925741,44083305197871
71,1,44083305201759,44083324864759
72,1,44083324868699,44083345386568
73,1,44083345390654,44083365260570
74,1,44083365264556,44083385162046
75,1,44083385166086,44083404971882
76,1,44083404977988,44083425385279
77,1,44083425391894,44083445517212
78,1,44083445533003,44083465177406
79,1,44083465195080,44083485368752
80,1,44083485373696,44083505431997
81,1,44083505435754,44083524917816
82,1,44083524922515,44083545270204
