# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,7615421202544,7615446463317
1,1,7615446478417,7615474087169
2,1,7615474093695,7615498320915
3,1,7615498325330,7615529194030
4,1,7615529199559,7615546752576
5,1,7615546758557,7615588302907
6,1,7615588308846,7615614274032
7,1,7615614278093,7615642257772
8,1,7615642263201,7615672109727
9,1,7615672115664,7615694052167
10,1,7615694058371,7615719713145
11,1,7615719719837,7615761728784
12,1,7615761734837,7615787575838
13,1,7615787581687,7615828963504
14,1,7615828985944,7615854450484
15,1,7615854455849,7615879937108
16,1,7615879943234,7615905825869
17,1,7615905832257,7615940734442
18,1,7615940740253,7615966440545
19,1,7615966446656,7615992502793
20,1,7615992508477,7616029806866
21,1,7616029812187,7616047418470
22,1,7616047423976,7616097443488
23,1,7616097449365,7616123010690
24,1,7616123016224,7616148424582
25,1,7616148431457,7616174206969
26,1,7616174213272,7616211017589
27,1,7616211023606,7616240813407
28,1,7616240821712,7616261011388
29,1,7616261017074,7616294258656
30,1,7616294263570,7616314247040
31,1,7616314253193,7616347980519
32,1,7616347985978,7616396680829
33,1,7616396687582,7616423630894
34,1,7616423637191,7616448669958
35,1,7616448676083,7616484479099
36,1,7616484485481,7616502362942
37,1,7616502368528,7616544333460
38,1,7616544339503,7616569689515
39,1,7616569694677,7616595221455
40,1,7616595226170,7616620989271
41,1,7616620996016,7616650963724
42,1,7616650968979,7616689369840
43,1,7616689376118,7616723024443
44,1,7616723059993,7616748457238
45,1,7616748463142,7616774397586
46,1,7616774402772,7616816308264
47,1,7616816313810,7616826205266
48,1,7616826209447,7616851698671
49,1,7616851722229,7616889110200
50,1,7616889115000,7616914530337
51,1,7616914536061,7616951521342
52,1,7616951530479,7616985637657
53,1,7616985644669,7617010979075
54,1,7617010984381,7617044477014
55,1,7617044482483,7617070583379
56,1,7617070589732,7617096614751
57,1,7617096620007,7617122343995
58,1,7617122350314,7617168962406
59,1,7617168968493,7617195335193
60,1,7617195340897,7617221545874
61,1,7617221553322,7617247497373
62,1,7617247502357,7617281391397
63,1,7617281396451,7617307124607
64,1,7617307128854,7617341283433
65,1,7617341290478,7617367272008
66,1,7617367277807,7617393149442
67,1,7617393154644,7617419236540
68,1,7617419242033,7617462240017
69,1,7617462245411,7617487786167
70,1,7617487791357,7617513433591
71,1,7617513438953,7617539182110
72,1,7617539187284,7617581242327
73,1,7617581247864,7617606851417
74,1,7617606857051,7617628298288
75,1,7617628303110,7617657831153
76,1,7617657836921,7617683766465
77,1,7617683774784,7617719356713
78,1,7617719385119,7617765150034
79,1,7617765155474,7617790638362
80,1,7617790644753,7617816664732
81,1,7617816670939,7617842698099
82,1,7617842704377,7617869268847
83,1,7617869275748,7617884683453
84,1,7617884689891,7617899142923
85,1,7617899147579,7617914947161
86,1,7617914952959,7617924629827
87,1,7617924633872,7617934706486
88,1,7617934711961,7617946058172
89,1,7617946063497,7617964070094
90,1,7617964075455,7617982134410
91,1,7617982139952,7618008380277
92,1,7618008385446,7618032528023
93,1,7618032535309,7618042181510
94,1,7618042187934,7618060493579
95,1,7618060499328,7618080618839
96,1,7618080624692,7618108948879
97,1,7618108953760,7618133158192
98,1,7618133163550,7618143261433
99,1,7618143286310,7618160886267
