# frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,6258376545075,6258396372723
1,1,6258396382449,6258418385076
2,1,6258418391335,6258436341908
3,1,6258436346494,6258456339484
4,1,6258456344303,6258476430246
5,1,6258476465289,6258496493325
6,1,6258496497827,6258516528574
7,1,6258516532313,6258536477038
8,1,6258536481866,6258556437543
9,1,6258556442991,6258576499196
10,1,6258576503625,6258596641160
11,1,6258596645358,6258616381702
12,1,6258616387401,6258636458174
13,1,6258636462179,6258656466045
14,1,6258656492042,6258676407229
15,1,6258676412389,6258696509098
16,1,6258696513020,6258716395868
17,1,6258716401903,6258736390210
18,1,6258736395558,6258756362711
19,1,6258756366959,6258776524807
20,1,6258776529312,6258796328856
21,1,6258796333773,6258816441254
22,1,6258816445591,6258836408621
23,1,6258836413700,6258856131403
24,1,6258856136018,6258876421289
25,1,6258876427351,6258896954402
26,1,6258896960195,6258916398113
27,1,6258916403252,6258936458356
28,1,6258936462324,6258956312532
29,1,6258956318504,6258976472551
30,1,6258976477509,6258996346460
31,1,6258996350764,6259016233295
32,1,6259016238704,6259036666553
33,1,6259036672620,6259056380300
34,1,6259056385196,6259080275597
35,1,6259080280730,6259101154386
36,1,6259101159790,6259120631683
37,1,6259120636226,6259140621772
38,1,6259140626076,6259160322579
39,1,6259160327759,6259180511556
40,1,6259180516705,6259200465634
41,1,6259200482401,6259220419630
42,1,6259220424136,6259240488192
43,1,6259240492034,6259260371020
44,1,6259260376049,6259280543281
45,1,6259280547336,6259300471535
46,1,6259300485300,6259320378664
47,1,6259320398944,6259340422174
48,1,6259340426572,6259360366754
49,1,6259360372722,6259380619960
50,1,6259380624301,6259400520976
51,1,6259400525770,6259420447716
52,1,6259420451923,6259440527074
53,1,6259440531713,6259460452769
54,1,6259460456554,6259480467590
55,1,6259480482003,6259500450024
56,1,6259500454557,6259520385011
57,1,6259520389880,6259540400981
58,1,6259540405439,6259560327626
59,1,6259560332612,6259580443418
60,1,6259580447999,6259600707494
61,1,6259600713284,6259620374233
62,1,6259620379678,6259640431571
63,1,6259640436843,6259660709326
64,1,6259660714767,6259680549275
65,1,6259680554491,6259700536720
66,1,6259700540764,6259720347448
67,1,6259720351900,6259740389027
68,1,6259740394218,6259760337386
69,1,6259760341622,6259780346847
70,1,6259780351654,6259800228075
71,1,6259800233822,6259820407721
72,1,6259820412991,6259844236409
73,1,6259844241224,6259864319433
74,1,6259864324645,6259884560092
75,1,6259884564358,6259904384841
76,1,6259904390065,6259924485492
77,1,6259924491953,6259944593875
78,1,6259944610153,6259964387331
79,1,6259964392048,6259984512952
80,1,6259984517000,6260004264064
81,1,6260004268939,6260024328237
82,1,6260024333119,6260044410740
83,1,6260044415930,6260064301090
84,1,6260064305879,6260084427719
85,1,6260084431746,6260105087173
86,1,6260105092501,6260124433773
87,1,6260124501228,6260144442434
88,1,6260144446830,6260164316714
89,1,6260164321884,6260184287348
90,1,6260184292102,6260204325121
91,1,6260204330169,6260224422073
92,1,6260224427046,6260244346242
93,1,6260244351488,6260264436291
94,1,6260264440561,6260284232863
95,1,6260284237787,6260304410255
96,1,6260304414706,6260324338050
97,1,6260324356367,6260344396298
98,1,6260344402221,6260364534672
99,1,6260364540072,6260384510789
100,1,6260384515220,6260404372411
101,1,6260404377611,6260424323871
