frame_index,read_ok,t_before_read_ns,t_after_read_ns
0,1,17362375088723,17362394961884
1,1,17362394971450,17362415745840
2,1,17362415752216,17362434992424
3,1,17362434996685,17362454995955
4,1,17362455001287,17362475024636
5,1,17362475029811,17362495750890
6,1,17362495755722,17362515092772
7,1,17362515097926,17362535214580
8,1,17362535219200,17362555012405
9,1,17362555018228,17362574923211
10,1,17362574928295,17362595149122
11,1,17362595154356,17362614983182
12,1,17362614988451,17362634985835
13,1,17362634990889,17362654942534
14,1,17362654962186,17362675024211
15,1,17362675029387,17362694991239
16,1,17362694996207,17362715164478
17,1,17362715169901,17362738988337
18,1,17362738994012,17362759194944
19,1,17362759201443,17362779025647
20,1,17362779031079,17362799095755
21,1,17362799100805,17362818928178
22,1,17362818933349,17362838997277
23,1,17362839002600,17362858991253
24,1,17362858996392,17362878983929
25,1,17362878990270,17362899120442
26,1,17362899125813,17362919196797
27,1,17362919201868,17362939066297
28,1,17362939071393,17362959104574
29,1,17362959109445,17362979308008
30,1,17362979313078,17362999458349
31,1,17362999462701,17363019177850
32,1,17363019183937,17363039285885
33,1,17363039291796,17363059116264
34,1,17363059121674,17363079152819
35,1,17363079158047,17363099106389
36,1,17363099111440,17363119132968
37,1,17363119138487,17363138993981
38,1,17363138999641,17363159094506
39,1,17363159099724,17363178991223
40,1,17363178996564,17363199053479
41,1,17363199059783,17363219023356
42,1,17363219028572,17363239126513
43,1,17363239131571,17363259168412
44,1,17363259173655,17363279241696
45,1,17363279263182,17363299002928
46,1,17363299007737,17363319106810
47,1,17363319111920,17363339043660
48,1,17363339049207,17363359122315
49,1,17363359127351,17363379011701
50,1,17363379016977,17363399076117
51,1,17363399091859,17363418966476
52,1,17363418971540,17363439029784
53,1,17363439036052,17363458920054
54,1,17363458925871,17363483041675
55,1,17363483046879,17363502700779
56,1,17363502704988,17363523320157
57,1,17363523325366,17363543109019
58,1,17363543114148,17363563088128
59,1,17363563093159,17363582883415
60,1,17363582889058,17363602896089
61,1,17363602900944,17363623033082
62,1,17363623038696,17363643072728
63,1,17363643089177,17363662855057
64,1,17363662860218,17363683205314
65,1,17363683211116,17363703069162
66,1,17363703074716,17363722858263
67,1,17363722862903,17363743041523
68,1,17363743046924,17363763121322
69,1,17363763126101,17363783060272
70,1,17363783065907,17363802998837
71,1,17363803003560,17363823042182
72,1,17363823047365,17363843163636
73,1,17363843168999,17363863007394
74,1,17363863012873,17363883021451
75,1,17363883027085,17363903067592
76,1,17363903072858,17363923130872
77,1,17363923137854,17363943182905
78,1,17363943203946,17363963042815
79,1,17363963047719,17363982982761
80,1,17363982988388,17364003255722
81,1,17364003260400,17364023152773
82,1,17364023158263,17364043185496
83,1,17364043190617,17364063001225
84,1,17364063007419,17364083005404
85,1,17364083010831,17364103029182
86,1,17364103034790,17364123102739
87,1,17364123107694,17364142997821
88,1,17364143003110,17364163173588
89,1,17364163178694,17364182898399
90,1,17364182903826,17364203095922
91,1,17364203101101,17364223069006
